time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/exploration_rate,time/time_elapsed,time/episodes,train/n_updates,train/learning_rate,train/loss
1890,42.92,45811,233.866,0.05,24,572,11202,0.0005,0.0682380348443985
1889,45.21,46193,233.334,0.05,24,576,11298,0.0005,0.46138429641723633
1889,47.35,46539,232.10999999999996,0.05,24,580,11384,0.0005,0.14742450416088104
1887,46.86,46650,232.159,0.05,24,584,11412,0.0005,0.19817709922790527
1887,46.08,46756,232.338,0.05,24,588,11438,0.0005,0.1956297904253006
1886,45.96,46862,232.34999999999997,0.05,24,592,11465,0.0005,0.08822159469127655
1885,45.82,46968,232.36399999999998,0.05,24,596,11491,0.0005,0.12123950570821762
1884,46.46,47146,232.19899999999998,0.05,25,600,11536,0.0005,0.07586340606212616
1882,45.93,47252,232.25199999999998,0.05,25,604,11562,0.0005,0.149361252784729
1879,47.69,47580,231.773,0.05,25,608,11644,0.0005,0.07693661004304886
1877,48.25,47760,230.707,0.05,25,612,11689,0.0005,0.18056851625442505
1876,48.14,47867,230.718,0.05,25,616,11716,0.0005,0.05864092335104942
1876,48.92,48051,230.43800000000002,0.05,25,620,11762,0.0005,0.1655956655740738
1876,48.83,48162,230.44699999999997,0.05,25,624,11790,0.0005,0.11944260448217392
1876,48.76,48340,230.65599999999998,0.05,25,628,11834,0.0005,0.18814630806446075
1876,48.0,48451,230.93400000000003,0.05,25,632,11862,0.0005,0.12558941543102264
1873,49.48,48709,230.38200000000003,0.05,26,636,11927,0.0005,0.0902208611369133
1871,48.68,48822,231.67399999999998,0.05,26,640,11955,0.0005,0.21628963947296143
1870,47.91,48930,232.25599999999994,0.05,26,644,11982,0.0005,0.05325188860297203
1868,47.86,49042,232.26099999999994,0.05,26,648,12010,0.0005,0.1159512922167778
1867,46.75,49158,232.675,0.05,26,652,12039,0.0005,0.1368614286184311
1865,47.39,49340,232.409,0.05,26,656,12084,0.0005,0.2662679851055145
1863,46.48,49449,232.601,0.05,26,660,12112,0.0005,0.1011008769273758
1863,44.41,49568,233.313,0.05,26,664,12141,0.0005,0.1671457141637802
1862,44.44,49875,233.51199999999997,0.05,26,668,12218,0.0005,0.06360728293657303
1861,41.74,49985,234.08499999999995,0.05,26,672,12246,0.0005,0.17945104837417603
